itag	all
Solyc09g091390.2.1	1
Solyc01g066450.2.1	1
Solyc03g097530.2.1	1
Solyc04g076630.2.1	1
Solyc07g045550.1.1	1
Solyc03g117720.2.1	1
Solyc02g071300.1.1	1
Solyc03g026100.1.1	1
Solyc04g080970.2.1	1
Solyc02g083600.2.1	1
Solyc09g072630.2.1	1
Solyc09g089980.1.1	1
Solyc02g050240.2.1	1
Solyc01g105880.2.1	1
Solyc08g069050.2.1	1
Solyc08g013900.2.1	1
Solyc01g100750.2.1	1
Solyc09g091960.2.1	1
Solyc02g087600.2.1	1
Solyc12g094440.1.1	1
Solyc05g013540.1.1	1
Solyc12g100270.1.1	1
Solyc01g020230.2.1	1
Solyc01g099210.2.1	1
Solyc07g025110.1.1	1
Solyc08g048370.2.1	1
Solyc07g040970.1.1	1
Solyc10g086750.1.1	1
Solyc05g014720.2.1	1
Solyc09g074550.2.1	1
Solyc07g048100.1.1	1
Solyc02g082170.1.1	1
Solyc05g009990.2.1	1
Solyc12g014000.1.1	1
Solyc10g076790.1.1	1
Solyc11g011070.1.1	1
Solyc05g047640.2.1	1
Solyc02g084680.2.1	1
Solyc02g071230.1.1	1
Solyc08g036570.1.1	1
Solyc03g116720.1.1	1
Solyc09g064390.2.1	1
Solyc08g007470.1.1	1
Solyc02g092490.2.1	1
Solyc12g040500.1.1	1
Solyc12g100070.1.1	1
Solyc07g032170.2.1	1
Solyc03g111360.2.1	1
Solyc10g084830.1.1	1
Solyc04g064750.1.1	1
Solyc01g111950.2.1	1
Solyc12g089240.1.1	1
Solyc05g051380.2.1	1
Solyc04g079830.2.1	1
Solyc02g085820.2.1	1
Solyc09g091460.2.1	1
Solyc06g069700.2.1	1
Solyc03g116830.2.1	1
Solyc09g097930.2.1	1
Solyc01g095630.2.1	1
Solyc08g075430.2.1	1
Solyc10g086740.1.1	1
Solyc12g006900.1.1	1
Solyc11g008310.1.1	1
Solyc11g005440.1.1	1
Solyc03g071650.1.1	1
Solyc03g093460.2.1	1
Solyc02g068890.2.1	1
Solyc08g077320.1.1	1
Solyc01g028930.2.1	1
Solyc04g077830.2.1	1
Solyc04g076750.1.1	1
Solyc07g065790.2.1	1
Solyc08g042000.2.1	1
Solyc12g042200.1.1	1
Solyc11g072250.1.1	1
Solyc11g007750.1.1	1
Solyc11g012190.1.1	1
Solyc08g077490.1.1	1
Solyc08g008480.2.1	1
Solyc12g055790.1.1	1
Solyc05g046280.1.1	1
Solyc11g007230.1.1	1
Solyc01g103610.2.1	1
Solyc11g039880.1.1	1
Solyc02g078400.2.1	1
Solyc06g005810.2.1	1
Solyc02g062580.2.1	1
Solyc03g093860.1.1	1
Solyc03g115790.1.1	1
Solyc06g062600.2.1	1
Solyc09g090230.1.1	1
Solyc01g081330.2.1	1
Solyc06g069330.2.1	1
Solyc11g066770.1.1	1
Solyc09g089550.2.1	1
Solyc03g123430.2.1	1
Solyc06g084580.1.1	1
Solyc03g031430.1.1	1
Solyc01g006260.2.1	1
Solyc06g068810.2.1	1
Solyc03g044020.2.1	1
Solyc06g084200.1.1	1
Solyc02g085490.1.1	1
Solyc11g008830.1.1	1
Solyc11g039890.1.1	1
Solyc03g007260.2.1	1
Solyc08g063040.2.1	1
Solyc00g013120.2.1	1
Solyc06g050380.1.1	1
Solyc11g056640.1.1	1
Solyc10g083610.1.1	1
Solyc08g016160.2.1	1
Solyc12g008350.1.1	1
Solyc08g006870.2.1	1
Solyc08g006210.1.1	1
Solyc09g013160.2.1	1
Solyc11g039870.1.1	1
Solyc01g107580.2.1	1
Solyc04g007350.2.1	1
Solyc10g024300.1.1	1
Solyc04g008720.2.1	1
Solyc02g032460.1.1	1
Solyc08g023590.2.1	1
Solyc09g089530.2.1	1
Solyc06g063010.2.1	1
Solyc07g066090.2.1	1
Solyc01g091450.2.1	1
Solyc02g069880.2.1	1
Solyc11g009040.1.1	1
Solyc01g066620.2.1	1
Solyc06g075640.1.1	1
Solyc05g053690.1.1	1
Solyc08g075300.2.1	1
Solyc10g008240.2.1	1
Solyc01g098090.2.1	1
Solyc03g112420.1.1	1
Solyc03g118160.1.1	1
Solyc09g064310.2.1	1
Solyc03g006040.2.1	1
Solyc01g102690.2.1	1
Solyc12g096810.1.1	1
Solyc05g054860.1.1	1
Solyc06g035430.2.1	1
Solyc08g061450.1.1	1
Solyc05g009400.1.1	1
Solyc10g080070.1.1	1
Solyc05g051050.2.1	1
Solyc09g066120.2.1	1
Solyc06g009330.2.1	1
Solyc05g045730.1.1	1
Solyc09g018250.2.1	1
Solyc04g011520.2.1	1
Solyc07g049740.2.1	1
Solyc02g086100.2.1	1
Solyc02g070710.1.1	1
Solyc04g064660.1.1	1
Solyc08g036530.1.1	1
Solyc04g080130.2.1	1
Solyc07g007690.2.1	1
Solyc11g067130.1.1	1
Solyc01g103440.2.1	1
Solyc09g056220.1.1	1
Solyc01g104430.1.1	1
Solyc07g066180.2.1	1
Solyc11g045430.1.1	1
Solyc04g081450.2.1	1
Solyc06g016770.2.1	1
Solyc03g117300.2.1	1
Solyc02g030210.2.1	1
Solyc09g047870.2.1	1
Solyc02g065480.2.1	1
Solyc03g006900.1.1	1
Solyc04g051670.2.1	1
Solyc11g051210.1.1	1
Solyc09g092050.2.1	1
Solyc12g097010.1.1	1
Solyc12g076330.1.1	1
Solyc04g056640.1.1	1
Solyc08g078280.1.1	1
Solyc11g027650.1.1	1
Solyc03g098340.2.1	1
Solyc03g058300.1.1	1
Solyc12g016220.1.1	1
Solyc10g055350.1.1	1
