itag,logFC,logCPM,PValue,SGN_annotation,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align
Solyc10g052430.1.1,8.824259357,4.790756888,9.91E-23,Gag-pol polyprotein (AHRD V1 ***- Q94BM1_HORVU),NA,NA,NA,NA,NA,NA,NA,NA
Solyc07g026760.1.1,8.586861987,3.440155592,2.34E-15,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc12g017930.1.1,8.149537369,6.389066235,1.41E-25,Gag polyprotein (Fragment) (AHRD V1 *-*- Q949K8_CICAR); contains Interpro domain(s)  IPR005162  Retrotransposon gag protein ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc08g023400.1.1,8.040429327,8.503264054,2.45E-29,"Retrotransposon gag protein (AHRD V1 *-*- Q0KIS1_SOLDE); contains Interpro domain(s)  IPR001878  Zinc finger, CCHC-type ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc12g027620.1.1,8.020081843,5.151211129,4.12E-22,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc10g052420.1.1,7.993194557,9.374915741,4.74E-30,Pol polyprotein (AHRD V1 *-*- POL_MMTVB); contains Interpro domain(s)  IPR000477  RNA-directed DNA polymerase (reverse transcriptase) ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc06g076420.1.1,7.806718038,4.485268209,5.21E-19,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc05g007610.2.1,7.78838337,3.704991456,2.53E-16,"Cc-nbs-lrr, resistance protein with an R1 specific domain",NA,NA,NA,NA,NA,NA,NA,NA
Solyc07g039270.2.1,7.695340977,9.332799654,6.49E-29,"&aposchromo&apos domain containing protein (AHRD V1 *-*- Q6L3Q3_SOLDE); contains Interpro domain(s)  IPR001878  Zinc finger, CCHC-type ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc10g050260.1.1,7.6404413,10.04365827,5.37E-29,Retrotransposon gag protein (AHRD V1 *--- Q0KIS1_SOLDE); contains Interpro domain(s)  IPR005162  Retrotransposon gag protein ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g028970.1.1,7.603013615,9.391121969,2.27E-28,Retrotransposon gag protein (AHRD V1 ***- Q0KIS1_SOLDE); contains Interpro domain(s)  IPR005162  Retrotransposon gag protein ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc09g008090.2.1,7.535684526,4.545660917,3.09E-20,UDP-glucosyltransferase family 1 protein (AHRD V1 ***- C6KI44_CITSI); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc05g021410.1.1,7.473547082,6.799960988,5.08E-24,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc11g056570.1.1,7.446069805,6.124541835,8.68E-24,Gag-pol (AHRD V1 **-- Q8W1D1_MAIZE); contains Interpro domain(s)  IPR000953  Chromo domain ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc08g022200.1.1,7.443115115,8.746919801,1.24E-27,Polyprotein (AHRD V1 ***- Q0ZLH4_9ORYZ); contains Interpro domain(s)  IPR005162  Retrotransposon gag protein ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc08g060910.1.1,7.401872412,10.68460354,3.78E-28,Pol polyprotein (AHRD V1 *-*- POL_BAEVM); contains Interpro domain(s)  IPR000477  RNA-directed DNA polymerase (reverse transcriptase) ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc11g020560.1.1,7.357495071,11.30894405,3.48E-28,Pol polyprotein (AHRD V1 *-*- POL_BAEVM); contains Interpro domain(s)  IPR000477  RNA-directed DNA polymerase (reverse transcriptase) ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc11g039520.1.1,7.352412697,5.484274403,1.33E-22,Pol polyprotein (AHRD V1 *-*- POL_SMRVH); contains Interpro domain(s)  IPR000477  RNA-directed DNA polymerase (reverse transcriptase) ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc07g005070.1.1,7.307481626,3.310231069,6.53E-14,Collagen alpha-1(IV) chain (AHRD V1 *-*- CO4A1_CAEEL),NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g058510.1.1,7.305282701,4.294471039,3.22E-18,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc06g036390.1.1,7.304467238,5.897117804,9.24E-22,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g121730.1.1,7.269708919,8.732503348,1.50E-26,&aposchromo&apos domain containing protein (AHRD V1 *--- Q6L3Q3_SOLDE); contains Interpro domain(s)  IPR005162  Retrotransposon gag protein ,NA,NA,NA,NA,NA,NA,NA,NA
