itag,logFC,logCPM,PValue,SGN_annotation,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align
Solyc00g005070.1.1,-2.671841317,3.844436421,0.000426043,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g006470.1.1,-5.545661419,11.83079138,3.44E-13,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g006680.1.1,-5.596661826,12.59444807,2.26E-13,Plant senescence-associated protein (Fragment) (AHRD V1 *-*- D7PDP5_9HYPO),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g006690.2.1,-5.581087936,8.085990921,7.82E-13,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g007060.2.1,-2.047072247,2.570832287,0.013953435,Serine/threonine kinase-like protein ABC1063 (AHRD V1 **** Q1KMP8_HORVD); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g007090.2.1,1.559372166,4.219791604,0.022945733,"Multi-pass transmembrane protein (AHRD V1 *--- Q5CMR0_CRYHO); contains Interpro domain(s)  IPR019328  GPI-GlcNAc transferase complex, PIG-H component ",AT4G35530,NA,phosphatidylinositolglycan-related; similar to Os05g0165400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054745.1); similar to Os01g0166400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042115.1); contains domain gb def: Hypothetical protein (PTHR15231:SF1); contains domain FAMILY NOT NAMED (PTHR15231),55.68,185,4.00E-51,197,96.75675676
Solyc00g008580.1.1,-5.980172061,7.851453517,6.21E-14,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g009760.2.1,-5.092448347,10.8064517,9.04E-12,Cytochrome P450 monooxygenase (Fragment) (AHRD V1 *-*- Q6T4Q1_PYRCO),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g010530.1.1,-5.706721229,6.345865,1.60E-12,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g011150.1.1,-6.11146227,9.459910353,1.05E-14,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g011160.1.1,-8.065531092,11.49780024,6.05E-21,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g011170.1.1,-4.849124231,10.46057971,5.28E-11,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g012430.1.1,-6.089175273,9.263287543,1.20E-14,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g012440.1.1,-6.154393904,13.49529597,3.88E-15,TO54-2 (Fragment) (AHRD V1 ***- Q3LVL5_TAROF),NA,NA,NA,NA,NA,NA,NA,NA
