ITAG,logFC,logCPM,PValue,SGN_annotation,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align
Solyc00g006800.2.1,3.403678423,8.871198735,2.42E-08,"Transaldolase (AHRD V1 ***- Q9FVH1_SOLLC); contains Interpro domain(s)  IPR014634  Transaldolase, bacterial/plant type ",AT5G13420,NA,"transaldolase, putative; similar to transaldolase [Solanum tuberosum] (GB:AAB54016.1); similar to transaldolase-like protein [Solanum tuberosum] (GB:ABB17002.1); similar to transaldolase [Lycopersicon esculentum] (GB:AAG16981.1); contains InterPro domain Transaldolase; (InterPro:IPR001585); contains InterPro domain Transaldolase subfamily; (InterPro:IPR004732)",80.83,412,0,658,93.83561644
Solyc00g009140.2.1,-1.315284434,5.636955699,0.037411589,Short-chain dehydrogenase/reductase SDR (AHRD V1 ***- A4A816_9GAMM); contains Interpro domain(s)  IPR002198  Short-chain dehydrogenase/reductase SDR ,AT4G09750,NA,"short-chain dehydrogenase/reductase (SDR) family protein; similar to short-chain dehydrogenase/reductase (SDR) family protein [Arabidopsis thaliana] (TAIR:AT4G24050.1); similar to putative short chain dehydrogenase/reductase [Oryza sativa (japonica cultivar-group)] (GB:BAD32915.1); contains InterPro domain Alcohol dehydrogenase, zinc-binding; (InterPro:IPR013149); contains InterPro domain Glucose/ribitol dehydrogenase; (InterPro:IPR002347)",79.66,177,2.00E-84,308,81.86046512
Solyc00g020040.1.1,2.605330595,9.217097868,1.20E-05,Cytochrome c biogenesis (Fragment) (AHRD V1 ***- A4KXV6_9ROSI); contains Interpro domain(s)  IPR003544  Cytochrome c-type biogenesis protein CcmB ,ATMG00110,CCB206,Encodes a mitochondria-encoded cytochrome c biogenesis protein.,94.66,206,7.00E-87,316,99.03381643
Solyc00g021630.1.1,1.981758166,7.579079345,0.000883427,"NADH-ubiquinone oxidoreductase chain 6 (Fragment) (AHRD V1 ***- Q2PZB4_BRAOB); contains Interpro domain(s)  IPR001457  NADH:ubiquinone/plastoquinone oxidoreductase, chain 6 ",ATMG00270,NAD6,NADH dehydrogenase subunit 6,96.06,203,3.00E-103,370,92.66055046
Solyc00g026160.2.1,-2.686137085,4.308851145,0.015244606,"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding ",AT5G23980,ATFRO4,"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1.",58.46,455,3.00E-140,495,99.5505618
Solyc00g187050.2.1,-4.776993382,5.743701028,4.36E-05,"Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase ",AT4G30920,NA,"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)",66.39,488,4.00E-177,617,95.08840864
Solyc01g005100.2.1,1.885033416,5.099023816,0.004022901,"Prolyl 3-hydroxylase 1 (AHRD V1 *--- P3H1_CHICK); contains Interpro domain(s)  IPR006620  Prolyl 4-hydroxylase, alpha subunit ",AT1G68080,NA,"oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; similar to Os03g0238700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049501.1); similar to hypothetical protein SwitDRAFT_3374 [Sphingomonas wittichii RW1] (GB:ZP_01607997.1); contains InterPro domain Prolyl 4-hydroxylase, alpha subunit; (InterPro:IPR006620)",57.25,400,3.00E-119,425,98.01488834
Solyc01g005430.2.1,1.427193363,6.2069253,0.01858378,UBX domain protein 6 (AHRD V1 ***- Q7SXA8_DANRE); contains Interpro domain(s)  IPR018997  PUB domain ,AT2G01650,PUX2,encodes a peripheral membrane protein that contains UBX domain and interacts with AtCDC48 in vitro and co-fractionates with membrane-associated but not soluble AtCDC48 in vivo.,61.06,434,1.00E-123,440,92.34135667
Solyc01g006090.2.1,-1.549682893,5.907449643,0.019128285,rRNA processing protein Ebp2 (AHRD V1 **-- B6K460_SCHJY); contains Interpro domain(s)  IPR008610  Eukaryotic rRNA processing ,AT3G22660,NA,rRNA processing protein-related; Identical to Probable rRNA-processing protein EBP2 homolog [Arabidopsis Thaliana] (GB:Q9LUJ5); similar to Os07g0475800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059623.1); similar to Eukaryotic rRNA processing protein EBP2 [Medicago truncatula] (GB:ABE88182.1); contains InterPro domain Eukaryotic rRNA processing; (InterPro:IPR008610),65.89,258,5.00E-67,251,90.10600707
Solyc01g007250.2.1,4.862979589,7.237808762,2.61E-13,U3 small nucleolar ribonucleoprotein protein IMP4 (AHRD V1 ***- D0N3A6_PHYIN); contains Interpro domain(s)  IPR007109  Brix domain ,AT1G63780,IMP4,Small nucleolar ribonucleoprotein protein involved in ribosomal RNA processing. Located in nucleolus and cajal bodies.,77.89,294,8.00E-137,483,99.31972789
