itag,logFC,logCPM,PValue,SGN_annotation,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align
Solyc12g098700.1.1,1.438554246,9.011572861,0.049995485,"ATP dependent RNA helicase (AHRD V1 *-*- B3LNW9_YEAS1); contains Interpro domain(s)  IPR011545  DNA/RNA helicase, DEAD/DEAH box type, N-terminal ",AT1G20920,NA,"DEAD box RNA helicase, putative; Identical to DEAD-box ATP-dependent RNA helicase 42 (EC 3.6.1.-) (RH42) [Arabidopsis Thaliana] (GB:Q8H0U8;GB:Q9SYP6); similar to DEAD/DEAH box helicase, putative [Arabidopsis thaliana] (TAIR:AT3G09620.1); similar to KIAA0801 protein [Homo sapiens] (GB:BAA34521.2); similar to Probable ATP-dependent RNA helicase DDX46 (DEAD box protein 46) (GB:Q569Z5); similar to RNA helicase [Rattus norve (GB:NP_620798.1); contains InterPro domain DEAD/DEAH box helicase; (InterPro:IPR001410); contains InterPro domain DEAD/DEAH box helicase, N-terminal; (InterPro:IPR011545); contains InterPro domain Helicase, C-terminal; (InterPro:IPR001650); contains InterPro domain ATP-dependent helicase, DEAD-box; (InterPro:IPR000629)",73.85,910,0,1213,78.91986063
Solyc10g017910.1.1,1.639888196,4.762803201,0.049963614,Photosystem I P700 chlorophyll a apoprotein A2 (AHRD V1 ***- D3WCZ9_XIMAM); contains Interpro domain(s)  IPR001280  Photosystem I psaA and psaB ,ATCG00340,PSAB,Encodes the D1 subunit of photosystem I  and II reaction centers.,84.62,91,5.00E-42,165,97.82608696
Solyc07g016200.2.1,-1.413912742,8.217250586,0.0499301,"Proteasome subunit beta type (AHRD V1 ***- B9SPS6_RICCO); contains Interpro domain(s)  IPR000243  Peptidase T1A, proteasome beta-subunit ",AT4G31300,PBA1,Encodes 20S proteasome subunit PBA1 (PBA1).,83.84,229,4.00E-110,394,96.20253165
Solyc03g071570.2.1,1.468878417,6.331042895,0.049877974,Pectate lyase-like protein (AHRD V1 **** Q6U6I9_BRANA); contains Interpro domain(s)  IPR002022  Pectate lyase/Amb allergen ,AT3G54920,PMR6,Powdery mildew resistant mutant encodes a pectate lyase-like protein,67.74,403,6.00E-163,570,77.02970297
Solyc06g083520.2.1,-1.540101054,6.114396414,0.049590613,Nucleolar GTP-binding protein 2 (AHRD V1 **** B0WF29_CULQU); contains Interpro domain(s)  IPR014813  GNL3L/Grn1 putative GTPase ,AT3G07050,NA,"GTP-binding family protein; similar to GTP-binding family protein [Arabidopsis thaliana] (TAIR:AT1G52980.1); similar to PREDICTED: similar to LOC496093 protein [Strongylocentrotus purpuratus] (GB:XP_783153.2); similar to Os01g0375000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001043076.1); contains InterPro domain GTP-binding protein, HSR1-related; (InterPro:IPR002917); contains InterPro domain Small GTP-binding protein domain; (InterPro:IPR005225); contains InterPro domain GTP1/OBG; (InterPro:IPR006073); contains InterPro domain GTP-binding; (InterPro:IPR005289)",70.32,539,0,644,87.95379538
Solyc07g065760.1.1,-1.536496124,5.143078091,0.049294439,Coiled-coil domain-containing protein 22 (AHRD V1 *-*- C0H977_SALSA); contains Interpro domain(s)  IPR008530  Protein of unknown function DUF812 ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g118040.2.1,1.444352196,8.91073104,0.049232603,"Calcium-binding protein Calnexin (AHRD V1 **-* Q9BLH3_HALRO); contains Interpro domain(s)  IPR018124  Calreticulin/calnexin, conserved site  IPR001580  Calreticulin/calnexin ",AT5G61790,ATCNX1,"calnexin 1 (CNX1); Identical to Calnexin homolog 1 precursor (CNX1) [Arabidopsis Thaliana] (GB:P29402); similar to calnexin, putative [Arabidopsis thaliana] (TAIR:AT5G07340.1); similar to calnexin homolog (GB:AAA17742.1); similar to Concanavalin A-like lectin/glucanase [Medicago truncatula] (GB:ABE80216.1); similar to putative papillar cell-specific calnexin [Brassica napus] (GB:AAK84429.1); contains InterPro domain Calreticulin/calnexin, P; (InterPro:IPR009033); contains InterPro domain Concanavalin A-like lectin/glucanase, subgroup; (InterPro:IPR013320); contains InterPro domain Concanavalin A-like lectin/glucanase; (InterPro:IPR008985); contains InterPro domain Calreticulin/calnexin; (InterPro:IPR001580)",75.05,537,0,640,98.88682746
Solyc11g005440.1.1,-1.606759449,4.577663723,0.049182052,Limkain b1 (Lkap) (Fragment) (AHRD V1 *--- Q28FZ9_XENTR); contains Interpro domain(s)  IPR007491  Protein of unknown function DUF537 ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g111750.2.1,1.798611352,3.630341766,0.049000635,Heat shock protein DnaJ domain protein (AHRD V1 *--- B7K9K5_CYAP7),AT2G20920,NA,"similar to CDF1 (CELL GROWTH DEFECT FACTOR 1), heat shock protein binding [Arabidopsis thaliana] (TAIR:AT5G23040.2); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABF93866.1)",62.24,241,3.00E-73,271,77.77777778
Solyc03g080060.1.1,1.786096852,3.701216368,0.049000635,"Receptor-like kinase (AHRD V1 **** A7VM32_MARPO); contains Interpro domain(s)  IPR001220  Legume lectin, beta chain ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc04g015020.2.1,1.721763107,3.547861091,0.049000635,Proline-rich protein (AHRD V1 *-*- A1YL94_GOSHI); contains Interpro domain(s)  IPR006121  Heavy metal transport/detoxification protein ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc12g008870.1.1,-1.516843435,3.89501178,0.049000635,"CwfJ domain-containing protein (AHRD V1 **-- B6JX79_SCHJY); contains Interpro domain(s)  IPR006768  Protein similar to CwfJ, C-terminal 1 ",AT5G56900,NA,"CwfJ-like family protein / zinc finger (CCCH-type) family protein; similar to CwfJ-like family protein [Arabidopsis thaliana] (TAIR:AT1G56290.1); similar to PREDICTED: hypothetical protein [Strongylocentrotus purpuratus] (GB:XP_783052.1); similar to Os09g0364000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062997.1); contains InterPro domain Protein similar to CwfJ, C-terminal 1; (InterPro:IPR006768); contains InterPro domain Protein similar to CwfJ, C-terminal 2; (InterPro:IPR006767); contains InterPro domain Zinc finger, CCCH-type; (InterPro:IPR000571)",59.54,351,3.00E-115,411,99.41860465
