itag	up	down	all	length
1	Solyc00g005040.2.1	0	0	0	357
2	Solyc00g005050.2.1	0	0	0	588
3	Solyc00g005060.1.1	0	0	0	273
4	Solyc00g005070.1.1	0	0	0	81
5	Solyc00g005080.1.1	0	0	0	297
6	Solyc00g005150.1.1	0	0	0	1143
7	Solyc00g005160.1.1	0	0	0	405
8	Solyc00g005170.1.1	0	0	0	384
9	Solyc00g005430.1.1	0	0	0	165
10	Solyc00g005440.1.1	0	0	0	510
11	Solyc00g005840.2.1	0	0	0	699
12	Solyc00g005870.1.1	0	0	0	1059
13	Solyc00g005880.1.1	0	0	0	558
14	Solyc00g006010.1.1	0	0	0	579
15	Solyc00g006470.1.1	0	0	0	561
16	Solyc00g006490.2.1	0	0	0	2559
17	Solyc00g006600.1.1	0	0	0	1134
18	Solyc00g006670.2.1	0	0	0	96
19	Solyc00g006680.1.1	0	0	0	228
20	Solyc00g006690.2.1	0	0	0	333
21	Solyc00g006800.2.1	0	0	0	1314
22	Solyc00g006810.2.1	0	0	0	672
23	Solyc00g006820.2.1	0	0	0	1962
24	Solyc00g006830.2.1	0	0	0	3294
25	Solyc00g006840.2.1	0	0	0	192
26	Solyc00g006900.1.1	0	0	0	486
27	Solyc00g007010.2.1	0	0	0	1749
28	Solyc00g007060.2.1	0	0	0	1248
29	Solyc00g007070.2.1	0	0	0	795
30	Solyc00g007080.2.1	0	0	0	513
31	Solyc00g007090.2.1	1	0	1	555
32	Solyc00g007100.2.1	0	0	0	1347
33	Solyc00g007110.2.1	0	0	0	1344
34	Solyc00g007120.2.1	0	0	0	2253
35	Solyc00g007130.2.1	0	0	0	1266
36	Solyc00g007140.1.1	0	0	0	324
37	Solyc00g007150.2.1	0	0	0	174
38	Solyc00g007200.2.1	0	0	0	1665
39	Solyc00g007260.2.1	0	0	0	1383
40	Solyc00g007270.2.1	0	0	0	738
41	Solyc00g007300.2.1	0	0	0	1704
42	Solyc00g007310.1.1	0	0	0	195
43	Solyc00g007590.1.1	0	0	0	396
44	Solyc00g008570.2.1	0	0	0	111
45	Solyc00g008580.1.1	0	0	0	207
46	Solyc00g008680.2.1	0	0	0	1008
47	Solyc00g009020.2.1	0	0	0	729
48	Solyc00g009050.1.1	0	0	0	1095
49	Solyc00g009060.2.1	0	0	0	600
50	Solyc00g009080.2.1	0	0	0	339
51	Solyc00g009090.2.1	0	0	0	3267
52	Solyc00g009100.2.1	0	0	0	1542
