itag	length	all	up	down
Solyc00g005040.2.1	357	0	0	0
Solyc00g005050.2.1	588	0	0	0
Solyc00g005060.1.1	273	0	0	0
Solyc00g005070.1.1	81	1	0	1
Solyc00g005080.1.1	297	0	0	0
Solyc00g005150.1.1	1143	0	0	0
Solyc00g005160.1.1	405	0	0	0
Solyc00g005170.1.1	384	0	0	0
Solyc00g005430.1.1	165	0	0	0
Solyc00g005440.1.1	510	0	0	0
Solyc00g005840.2.1	699	0	0	0
Solyc00g005870.1.1	1059	0	0	0
Solyc00g005880.1.1	558	0	0	0
Solyc00g006010.1.1	579	0	0	0
Solyc00g006470.1.1	561	0	0	0
Solyc00g006490.2.1	2559	0	0	0
Solyc00g006600.1.1	1134	0	0	0
Solyc00g006670.2.1	96	0	0	0
Solyc00g006680.1.1	228	1	1	0
Solyc00g006690.2.1	333	1	1	0
Solyc00g006800.2.1	1314	0	0	0
Solyc00g006810.2.1	672	0	0	0
Solyc00g006820.2.1	1962	0	0	0
Solyc00g006830.2.1	3294	0	0	0
Solyc00g006840.2.1	192	0	0	0
Solyc00g006900.1.1	486	0	0	0
Solyc00g007010.2.1	1749	0	0	0
Solyc00g007060.2.1	1248	1	1	0
Solyc00g007070.2.1	795	0	0	0
Solyc00g007080.2.1	513	0	0	0
Solyc00g007090.2.1	555	0	0	0
Solyc00g007100.2.1	1347	0	0	0
Solyc00g007110.2.1	1344	0	0	0
Solyc00g007120.2.1	2253	0	0	0
Solyc00g007130.2.1	1266	0	0	0
Solyc00g007140.1.1	324	0	0	0
Solyc00g007150.2.1	174	0	0	0
Solyc00g007200.2.1	1665	1	0	1
Solyc00g007260.2.1	1383	0	0	0
Solyc00g007270.2.1	738	0	0	0
Solyc00g007300.2.1	1704	1	0	1
Solyc00g007310.1.1	195	0	0	0
Solyc00g007590.1.1	396	0	0	0
Solyc00g008570.2.1	111	0	0	0
Solyc00g008580.1.1	207	0	0	0
Solyc00g008680.2.1	1008	0	0	0
Solyc00g009020.2.1	729	0	0	0
Solyc00g009050.1.1	1095	0	0	0
Solyc00g009060.2.1	600	0	0	0
Solyc00g009080.2.1	339	0	0	0
Solyc00g009090.2.1	3267	0	0	0
Solyc00g009100.2.1	1542	0	0	0
Solyc00g009110.2.1	1959	0	0	0
Solyc00g009120.2.1	645	1	0	1
Solyc00g009130.2.1	246	0	0	0
Solyc00g009140.2.1	645	0	0	0
Solyc00g009760.2.1	447	0	0	0
Solyc00g009770.1.1	237	0	0	0
Solyc00g010530.1.1	177	0	0	0
Solyc00g010760.1.1	699	0	0	0
Solyc00g010770.1.1	711	0	0	0
Solyc00g011150.1.1	207	0	0	0
Solyc00g011160.1.1	105	0	0	0
Solyc00g011170.1.1	219	0	0	0
Solyc00g011880.2.1	471	1	0	1
Solyc00g011890.2.1	3111	1	0	1
Solyc00g012430.1.1	177	0	0	0
Solyc00g012440.1.1	381	1	1	0
Solyc00g013100.1.1	237	0	0	0
Solyc00g013110.1.1	267	0	0	0
Solyc00g013120.2.1	420	1	1	0
Solyc00g013130.2.1	903	0	0	0
Solyc00g013140.1.1	1386	0	0	0
Solyc00g013150.1.1	294	0	0	0
Solyc00g013160.1.1	513	0	0	0
Solyc00g013170.1.1	210	0	0	0
Solyc00g013180.1.1	531	0	0	0
Solyc00g014790.2.1	324	0	0	0
Solyc00g014800.1.1	492	1	0	1
Solyc00g014820.2.1	516	0	0	0
Solyc00g014830.2.1	1185	0	0	0
Solyc00g014840.1.1	342	0	0	0
Solyc00g014850.1.1	312	0	0	0
Solyc00g015600.1.1	156	0	0	0
Solyc00g018970.1.1	153	0	0	0
Solyc00g019730.1.1	441	0	0	0
Solyc00g019740.1.1	471	0	0	0
Solyc00g019750.1.1	210	1	1	0
Solyc00g019950.1.1	573	0	0	0
Solyc00g019960.1.1	231	0	0	0
Solyc00g019970.2.1	381	1	0	1
Solyc00g019980.2.1	528	1	1	0
Solyc00g019990.1.1	216	0	0	0
Solyc00g020000.1.1	174	0	0	0
Solyc00g020010.1.1	228	0	0	0
Solyc00g020020.2.1	501	1	1	0
Solyc00g020030.1.1	201	0	0	0
Solyc00g020040.1.1	621	0	0	0
Solyc00g021630.1.1	654	1	1	0
Solyc00g021640.2.1	1224	0	0	0
Solyc00g021650.1.1	231	0	0	0
Solyc00g022070.1.1	153	0	0	0
Solyc00g022080.1.1	213	0	0	0
Solyc00g022090.1.1	354	0	0	0
Solyc00g022100.1.1	480	0	0	0
Solyc00g022110.2.1	789	0	0	0
Solyc00g023570.1.1	330	0	0	0
Solyc00g023580.1.1	258	1	0	1
Solyc00g023590.2.1	672	0	0	0
Solyc00g023600.1.1	267	0	0	0
Solyc00g023700.2.1	363	0	0	0
Solyc00g023710.1.1	702	0	0	0
Solyc00g024150.2.1	633	0	0	0
Solyc00g025290.1.1	486	0	0	0
Solyc00g026160.2.1	1335	0	0	0
Solyc00g027120.1.1	870	0	0	0
Solyc00g027140.1.1	1758	0	0	0
Solyc00g027770.2.1	954	0	0	0
Solyc00g030100.1.1	174	0	0	0
Solyc00g030520.2.1	726	1	0	1
Solyc00g036520.1.1	558	0	0	0
Solyc00g036540.1.1	282	0	0	0
Solyc00g039990.2.1	633	0	0	0
Solyc00g042640.1.1	2259	0	0	0
Solyc00g042840.1.1	1137	0	0	0
Solyc00g044350.2.1	240	0	0	0
Solyc00g047190.1.1	318	0	0	0
Solyc00g047200.1.1	234	0	0	0
Solyc00g047700.2.1	489	0	0	0
Solyc00g049210.1.1	1770	0	0	0
Solyc00g049220.1.1	207	1	1	0
Solyc00g050130.1.1	1383	0	0	0
Solyc00g050430.2.1	1032	0	0	0
Solyc00g052430.2.1	1140	1	0	1
Solyc00g052540.1.1	321	0	0	0
Solyc00g056680.1.1	1614	0	0	0
Solyc00g059100.2.1	978	0	0	0
Solyc00g068970.2.1	654	0	0	0
Solyc00g068980.1.1	165	0	0	0
Solyc00g069880.2.1	684	0	0	0
Solyc00g072100.2.1	594	1	0	1
Solyc00g082150.2.1	1209	0	0	0
Solyc00g082550.1.1	510	0	0	0
Solyc00g085070.2.1	1392	1	0	1
Solyc00g090870.2.1	369	0	0	0
Solyc00g091170.2.1	1128	0	0	0
Solyc00g093300.1.1	750	0	0	0
Solyc00g094520.1.1	186	0	0	0
Solyc00g094530.1.1	390	0	0	0
