ITAG,logFC,logCPM,PValue,SGN_annotation,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align
Solyc00g005080.1.1,1.600868082,5.055599087,0.008115,Ycf2 (AHRD V1 ***- A6YA23_9MAGN),ATCG01280,YCF2.2,"Identical to Protein ycf2 (ycf2-B) [Arabidopsis Thaliana] (GB:P56786); similar to hypothetical chloroplast RF2 [Vitis vinifera] (GB:YP_567121.1); similar to Hypothetical protein [Gossypium barbadense] (GB:BAF41290.1); similar to hypothetical chloroplast RF2 [Gossypium hirsutum] (GB:YP_538978.1); contains InterPro domain Chloroplast Ycf2; (InterPro:IPR008543); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)",91.25,80,2.00E-38,153,79.7979798
Solyc00g047200.1.1,-1.385127332,4.055826705,0.033609057,Cytochrome b (AHRD V1 ***- Q95871_TOBAC); contains Interpro domain(s)  IPR016175  Cytochrome b/b6 ,ATMG00220,COB,Mitochondrial apocytochrome b (cob) gene encodes a subunit of the ubiquinol-cytochrome c oxidoreductase and is part of a 5 kb transcript. The transcript also contains a pseudogene for ribosomal protein S14 called RPS15 and a tRNA(Ser) gene. Both the Cob and RPS15 genes are edited in the transcript.,98.7,77,7.00E-34,138,97.43589744
Solyc00g095760.1.1,5.681364524,5.213801679,6.74E-14,"1-aminocyclopropane-1-carboxylate synthase (AHRD V1 ***- Q96580_SOLLC); contains Interpro domain(s)  IPR004839  Aminotransferase, class I and II ",AT3G61510,ACS1,"Encodes a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family. The gene is transcriptionally active but enzymatically inactive. The predicted amino-acid sequence of ACS1 is missing the highly conserved tripeptide, Thr-Asn-Pro (TNP), between Ile204 and Ser205. Introduction of TNP into ACS1 restores the ACS activity.",58.76,291,2.00E-95,345,83.53293413
Solyc00g187050.2.1,-3.031134833,5.682600765,1.13E-05,"Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase ",AT4G30920,NA,"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)",66.39,488,4.00E-177,617,95.08840864
Solyc00g277510.1.1,-1.567856271,6.706620982,0.015700505,"Photosystem Q(B) protein (AHRD V1 ***- Q95B48_PRUPE); contains Interpro domain(s)  IPR000484  Photosynthetic reaction centre, L/M ",ATCG00020,PSBA,"Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core",91.04,67,4.00E-23,102,97.01492537
Solyc01g005080.2.1,1.765185441,4.831267837,0.005396765,Microtubule-associated protein MAP65-1a (AHRD V1 **** C0J9Z7_ORYNI); contains Interpro domain(s)  IPR007145  MAP65/ASE1 ,AT2G01910,ATMAP65-6,"Binds microtubules. Induces a crisscross mesh of microtubules, not bundles.  Not involved in microtubule polymerization nor nucleation. Localizes to mitochondria.",67.2,567,0,732,99.64285714
Solyc01g005790.1.1,3.416465308,4.196518643,1.32E-06,Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KKP4_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ,AT1G10330,NA,pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT5G66520.1); similar to Pentatricopeptide repeat [Medicago truncatula] (GB:ABE89006.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990),50.22,458,3.00E-124,442,99.34640523
Solyc01g007290.1.1,1.432393776,6.276091398,0.011907008,"NAD(P)H-quinone oxidoreductase subunit J (AHRD V1 ***- NDHJ_TRIEI); contains Interpro domain(s)  IPR020396  NADH:ubiquinone oxidoreductase, 30 kDa subunit, conserved site  IPR001268  NADH:ubiquinone oxidoreductase, 30 kDa subunit ",ATCG00420,NDHJ,Encodes NADH dehydrogenase subunit J.  Its transcription is increased upon sulfur depletion.,89.24,158,9.00E-82,298,98.74213836
Solyc01g007380.1.1,1.14653796,7.037397422,0.038766345,Apocytochrome f (AHRD V1 ***- D3WBH0_9AQUA); contains Interpro domain(s)  IPR002325  Cytochrome f ,ATCG00540,PETA,Encodes cytochrome f apoprotein; involved in photosynthetic electron transport chain; encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.,89.38,320,5.00E-170,593,99.37694704
Solyc01g007640.2.1,1.163620141,9.414151911,0.032270176,Ycf2 (AHRD V1 ***- D2KLP5_OLEEU); contains Interpro domain(s)  IPR008543  Chloroplast Ycf2 ,ATCG01280,YCF2.2,"Identical to Protein ycf2 (ycf2-B) [Arabidopsis Thaliana] (GB:P56786); similar to hypothetical chloroplast RF2 [Vitis vinifera] (GB:YP_567121.1); similar to Hypothetical protein [Gossypium barbadense] (GB:BAF41290.1); similar to hypothetical chloroplast RF2 [Gossypium hirsutum] (GB:YP_538978.1); contains InterPro domain Chloroplast Ycf2; (InterPro:IPR008543); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)",87.1,2310,0,3842,99.91224221
